Project Number,Project Title,Financial Year,Contractor Name,Estimated Cost,Department,Approval/Contract Number,Amount Paid,Project Scope
006/132/08/24-25,"Road Formation, Grading And Murraming Of Mamasafi Road",2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,"Road Formation, Grading And Murraming "
006/132/09/24-25,Grading And Murraming Of Utawala Road,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Slab At Mokoi Road And Culvert Installation At Utawala Road.
006/132/10/24-25,Maintanance Of Roads Of Mata Ward,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Maintanance Of Roads Of Mata Ward
006/132/100/20-21,Mata Youth Polytechnic,2020-2021,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Mata Vtc
006/132/101/20-21,Completion Of Kachero Dispensary,2020-2021,n/a,0,Health Services,,1850000,Construction Of Kachero Dispensary 
006/132/102/20-21,Construction Of A Toilet At Kachero Dispensary,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Toilet At Kachero Dispensary 
006/132/103/20-21,Construction Of A Toilet At Mata Dispensary,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1000000,Construction Of The Toilet At Mata Dispensary 
006/132/104/20-21,Kimondia - Ngaa Road,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading And Murraming 
006/132/105/20-21,Mwakoi Road Bush Clearing/Grading1300000,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Mokoi Road Bush Clearing 
006/132/106/20-21,Timbila - Mkuyuni - Rekeke Road Bush Clearing And Grading,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Bush Clearing 
006/132/107/20-21,Dairy Cows For Wazee,2020-2021,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Dairy Cows For Wazee
006/132/108/20-21,Mata Youth Polytechnic,2020-2021,n/a,0,"Education, Libraries and VTCs",,0,Mata Youth Polytechnic
006/132/109/20-21,Eldoro Milk Cooling Plant,2020-2021,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Eldoro Milk Cooling Plant
006/132/11/24-25,"Road Formation, Grading And Murraming Of Grigan-Ngaa Road",2024-2025,Kenrich Company,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2000000,"Road Formation, Grading And Murraming Of Grigan-Ngaa Road"
006/132/110/20-21,Purchase Of Rice Value Addition Machine,2020-2021,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Purchase Of Rice Value Addition Machine
006/132/111/19-20,Sir Ramson Rd,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading & Gravelling Of Ramson Rd
006/132/112/19-20,Chala Chini Rd,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading And Gravelling 
006/132/113/19-20,Timboni Kwa Edward Road,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murumming Of The Road
006/132/114/19-20,Murraming Of Mbochi-Kijuijui Road,2019-2020,Niko Genral Agencies,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1995640,Murumming Of The Road
006/132/115/19-20,Rehabilitation Harambee/Chakaleri Timbila Rd,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1039995,Murrumming Of The Road
006/132/116/19-20,Kirimeri Nursery Perimeter Fence,2019-2020,n/a,0,"Education, Libraries and VTCs",,0,Ecde 
006/132/117/19-20,Langata Bypass Barrier Constructionroad,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,588120,Murrummung Road
006/132/118/19-20,"Completion Of Msengonyi Road, Murraming",2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1902338,Murrumming Of The Road
006/132/119/19-20,Murraming Of Gorofani-Makau Road,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,948636,Murruming Of The Road
006/132/12/24-25,Fuel For Road Maintanance In Mata Ward,2024-2025,Border Point,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2000000,Fuel For Road Maintanance In Mata Ward
006/132/120/19-20,Mahoo Ecde Kitchen,2019-2020,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Kitchen
006/132/121/19-20,Kirimeri Nursery Perimeter Fence,2019-2020,n/a,0,"Education, Libraries and VTCs",,0,Ecde 
006/132/122/19-20,Routine Maintenace And Spot Improvement,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Routine Maintenace And Spot Improvement
006/132/123/19-20,Installation Of One Box Culvert And Double 900 Mm Culvert At Mkuyuni Kingwareni Road,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Box Culvert Installation 
006/132/124/19-20,Routine Maintenace And Spot Improvement,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Routine Maintenace And Spot Improvement
006/132/125/19-20,Murraming Of Kwa Father Moya Moya Mtisoni Road,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murraming Of Kwa Father Moya Moya Mtisoni Road
006/132/126/19-20,Murraming Of Eldoro Kitoghoto Ngutini Road,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murraming Of Eldoro Kitoghoto Ngutini Road
006/132/128/19-20,Excavation Of Lambo Maseketeni Road,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Excavation Of Lambo Maseketeni Road
