Project Number,Project Title,Financial Year,Contractor Name,Estimated Cost,Department,Approval/Contract Number,Amount Paid,Project Scope
006/132/129/18-19,Chala Madukani 4 Door Toilet,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Madukani Door Toilet
006/132/13/24-25,Structures In Mokoi Road And Utawala Road,2024-2025,Bosker Ace Limited ,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,999925.48,Structures In Mokoi Road And Utawala Road
006/132/130/18-19,Chala Social Hall,2018-2019,n/a,0,"Youth, Sports, Gender and Social Services",,0,Construction Of Social Hall
006/132/131/18-19,Chumvini 4 Door Toilet,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Door Toilet
006/132/132/18-19,Mahandakini Ecde,2018-2019,Ketusha Constructions,0,"Education, Libraries and VTCs",,1239700,Construction Of Class
006/132/133/18-19,Njukini Abc Rd,2018-2019,Njamrit Enterprises,0,Health Services,,0,Grading  & Gravelling  Abc Rd
006/132/134/18-19,Mahandakini Disp. Rd,2018-2019,Market View Investments,0,Health Services,,0,Grading And Gravelling 
006/132/135/18-19,Mahandakini Disp. Twin Staff Hse,2018-2019,n/a,0,Health Services,,0,Construction Of Disp Twin Staff Hse
006/132/136/18-19,Chumvini Mkt Shed,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Mkt Shed
006/132/137/18-19,Machungwani Kwa Hassan Rd,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading And Gravelling 
006/132/138/18-19,Njukini Shed  &Toilet,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Shed Toilet
006/132/139/18-19,Timboni Kwa Edward Road,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2979579,Murumming Of The Road
006/132/14/24-25,Youth And Women Empowerment ,2024-2025,n/a,0,"Youth, Sports, Gender and Social Services",,0,Youth And Women Empowerment 
006/132/140/18-19,Rehabilitation Harambee/Chakaleri Timbila Rd,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murrumming Of The Road
006/132/141/18-19,Construction Of Lessesia Ecde Toilet,2018-2019,Jz Building& Construction Co. Ltd,0,"Education, Libraries and VTCs",,499693.2,Construction Of Toilet
006/132/142/18-19,Msengoni Road Opening,2018-2019,Niko Genral Agencies,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1958752.8,Road Formation
006/132/143/18-19,Ngelesani Makloriti Road,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1910052,Murruming Of The Road
006/132/144/18-19,Langata Bypass Barrier Constructionroad,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1632120,Murrummung Road
