Project Number,Project Title,Project Status,Financial Year,Contractor Name,Estimated Cost,Department,Implemented By,Partner,Expected Start Date,Expected End Date,Approval/Contract Number,Contract Period (Days),Technical Rating,Completion Level,Amount Paid,Total Percentage,Project Scope,Administrative Level,Project Location,Location Names,Latitude,Longitude,Funded By,Percentage of Funding,Partner,,Admin Level,Admin
006/131/91/20-21,Lushangonyi - Kizumba - Kiloghwa Road Excavation,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,0,0,Mechanical excavation and shaping ,Admin 3,,Mwanda/Mgange,-3.4036130,38.318183,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/92/20-21,Lashu - Ngoloki Road Excavation,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,0,0,Mechanical excavation and shaping ,Admin 3,,Mwanda/Mgange,-3.395813000,38.30474700,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/93/20-21,Kiloghwa Vtc Complex Phase Iii,Complete,2020-2021,n/a,0,"Education, Libraries and VTCs",,,,,,0,,0,0,0,Kiloghwa VTC Complex Phase III,Admin 3,,Mwanda/Mgange,0,0,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/94/20-21,Iyale All Stars Football Club,Complete,2020-2021,n/a,0,"Youth, Sports, Gender and Social Services",,,,,,0,,0,0,0,Iyale All Stars Football Club,Admin 3,,Mwanda/Mgange,0,0,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/95/20-21,Mwanda Boda Boda Shades Completion,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,0,0,Mwanda boda boda shades completion,Admin 3,,Mwanda/Mgange,0,0,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/96/20-21,Youth Empoerement(Sporting Kits And Greenhouse ,Complete,2020-2021,n/a,0,"Youth, Sports, Gender and Social Services",,,,,,0,,0,0,0,Youth empoerement(Sporting kits and greenhouse ,Admin 3,,Mwanda/Mgange,0,0,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/97/20-21,Completion Of Paranga Dispensary,Complete,2020-2021,n/a,0,Health Services,,,,,,0,,0,6622370,0,Addition of casualty room,Admin 3,,Wumingu/Kishushe,-3.163049,38.242519,County Government,100,,,Admin 3,Wumingu/Kishushe
006/131/98/20-21,Construction Of Kishushe 3No. Market Sheds And 4 Door Modern Toilet,Stalled,2020-2021,n/a,0,"Trade, Tourism, Culture and Industrialization",,,,,,0,,0,6622370,0,,Admin 3,,Wumingu/Kishushe,-3.279734,38.303185,County Government,100,,,Admin 3,Wumingu/Kishushe
006/131/99/20-21,Renovation Of Kishushe Dispensary Laboratory,Complete,2020-2021,n/a,0,Health Services,,,,,,0,,0,6622370,0,"Finishes,painting and wiring",Admin 3,,Wumingu/Kishushe,-3.278011,38.323737,County Government,100,,,Admin 3,Wumingu/Kishushe
006/132/01/24-25,Construction Of Sir Ramson Ecde Classroom,Complete,2024-2025,Victrax Engineering And Construction,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,1795842.4,100,Construction Of Sir Ramson Ecde Classroom,Admin 3,,Chala,-3.2048080,37.7352120,County Government,100,,,Admin 3,Chala
006/132/02/24-25,Lessesia Ecde,Complete,2024-2025,Mubesiru Construction Ltd,0,"Education, Libraries and VTCs",County Government,,,,296,0,,0,1993460,100,Construction Of 1 Class,Admin 3,,Mahoo,3.3684,37.6636,County Government,100,,,Admin 3,Mahoo
006/132/03/24-25,Nakuruto Ecde,Complete,2024-2025,Datush Enterprises Ltd,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,998090,100,Construction Of Ecde,Admin 3,,Mahoo,3.3378,37.7143,County Government,100,,,Admin 3,Mahoo
006/132/04/24-25,Malkloriti B Ecde And 3 Door Toilet,Complete,2024-2025,Bonwal Constrction &Holding Ltd,0,"Education, Libraries and VTCs",County Government,,,,308,0,,0,997600,100,Construction Of Ecde,Admin 3,,Mahoo,3.36949,37.692,County Government,100,,,Admin 3,Mahoo
006/132/05/24-25,Brighter Days -Lesesia   Rroad,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Road Formation & Mmuurrraming,Admin 3,,Mahoo,3.76869,37.672,County Government,100,,,Admin 3,Mahoo
006/132/06/24-25,Completion Of Tangini Ecde Classroom,Complete,2024-2025,Aruba Contractors,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of 1 Classroom ,Admin 3,,Mata,-3.466875,37.5433690,County Government,100,,,Admin 3,Mata
006/132/07/24-25,Grading And Murraming Of Kangero Road,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading And Murraming Of Kangero Road ,Admin 3,,Mata,-3.348574,37.6540550,County Government,100,,,Admin 3,Mata
006/132/08/24-25,"Road Formation, Grading And Murraming Of Mamasafi Road",Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,"Road Formation, Grading And Murraming ",Admin 3,,Mata,-3.347853,37.700044,County Government,100,,,Admin 3,Mata
006/132/09/24-25,Grading And Murraming Of Utawala Road,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Slab At Mokoi Road And Culvert Installation At Utawala Road.,Admin 3,,Mata,3.4028270,3772934,County Government,100,,,Admin 3,Mata
006/132/10/24-25,Maintanance Of Roads Of Mata Ward,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Maintanance Of Roads Of Mata Ward,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/100/20-21,Mata Youth Polytechnic,Complete,2020-2021,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Mata Vtc,Admin 3,,Mata,-3.390575,37.585335,County Government,100,,,Admin 3,Mata
006/132/101/20-21,Completion Of Kachero Dispensary,Complete,2020-2021,n/a,0,Health Services,County Government,,,,,0,,0,1850000,100,Construction Of Kachero Dispensary ,Admin 3,,Mata,-3.480234,37.34779,County Government,100,,,Admin 3,Mata
006/132/102/20-21,Construction Of A Toilet At Kachero Dispensary,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Toilet At Kachero Dispensary ,Admin 3,,Mata,-3.477188,37.6146320,County Government,100,,,Admin 3,Mata
006/132/103/20-21,Construction Of A Toilet At Mata Dispensary,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1000000,100,Construction Of The Toilet At Mata Dispensary ,Admin 3,,Mata,-3.8967770,37.55566,County Government,100,,,Admin 3,Mata
006/132/104/20-21,Kimondia - Ngaa Road,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading And Murraming ,Admin 3,,Mata,-3.42889,37.70006800,County Government,100,,,Admin 3,Mata
006/132/105/20-21,Mwakoi Road Bush Clearing/Grading1300000,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Mokoi Road Bush Clearing ,Admin 3,,Mata,-3.4028690,37.726756,County Government,100,,,Admin 3,Mata
006/132/106/20-21,Timbila - Mkuyuni - Rekeke Road Bush Clearing And Grading,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Bush Clearing ,Admin 3,,Mata,-3.431577,37.71788,County Government,100,,,Admin 3,Mata
006/132/107/20-21,Dairy Cows For Wazee,Complete,2020-2021,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,,,0,,0,0,100,Dairy Cows For Wazee,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/108/20-21,Mata Youth Polytechnic,Complete,2020-2021,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Mata Youth Polytechnic,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/109/20-21,Eldoro Milk Cooling Plant,Complete,2020-2021,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,,,0,,0,0,100,Eldoro Milk Cooling Plant,Admin 3,,Mboghoni,-3.4825,37.6738,County Government,100,,,Admin 3,Mboghoni
006/132/11/24-25,"Road Formation, Grading And Murraming Of Grigan-Ngaa Road",Ongoing,2024-2025,Kenrich Company,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,2000000,100,"Road Formation, Grading And Murraming Of Grigan-Ngaa Road",Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/110/20-21,Purchase Of Rice Value Addition Machine,Ongoing,2020-2021,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,,,0,,0,0,100,Purchase Of Rice Value Addition Machine,Admin 3,,Mboghoni,-3.3968,37.6748,County Government,100,,,Admin 3,Mboghoni
006/132/111/19-20,Sir Ramson Rd,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading & Gravelling Of Ramson Rd,Admin 3,,Chala,-3.1905670,37.7268770,County Government,100,,,Admin 3,Chala
006/132/112/19-20,Chala Chini Rd,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading And Gravelling ,Admin 3,,Chala,-3.3342260,37.7354220,County Government,100,,,Admin 3,Chala
006/132/113/19-20,Timboni Kwa Edward Road,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Murumming Of The Road,Admin 3,,Mahoo,3.348973,37.703,County Government,100,,,Admin 3,Mahoo
006/132/114/19-20,Murraming Of Mbochi-Kijuijui Road,Complete,2019-2020,Niko Genral Agencies,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1995640,100,Murumming Of The Road,Admin 3,,Mahoo,0,0,County Government,100,,,Admin 3,Mahoo
006/132/115/19-20,Rehabilitation Harambee/Chakaleri Timbila Rd,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1039995,100,Murrumming Of The Road,Admin 3,,Mahoo,3.3838,37.7153,County Government,100,,,Admin 3,Mahoo
006/132/116/19-20,Kirimeri Nursery Perimeter Fence,Complete,2019-2020,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Ecde ,Admin 3,,Mahoo,3.30568,37.7208,County Government,100,,,Admin 3,Mahoo
006/132/117/19-20,Langata Bypass Barrier Constructionroad,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,588120,100,Murrummung Road,Admin 3,,Mahoo,3.374161,37.6823,County Government,100,,,Admin 3,Mahoo
006/132/118/19-20,"Completion Of Msengonyi Road, Murraming",Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1902338,100,Murrumming Of The Road,Admin 3,,Mahoo,0,0,County Government,100,,,Admin 3,Mahoo
006/132/119/19-20,Murraming Of Gorofani-Makau Road,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,948636,100,Murruming Of The Road,Admin 3,,Mahoo,0,0,County Government,100,,,Admin 3,Mahoo
006/132/12/24-25,Fuel For Road Maintanance In Mata Ward,Complete,2024-2025,Border Point,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,2000000,100,Fuel For Road Maintanance In Mata Ward,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/120/19-20,Mahoo Ecde Kitchen,Complete,2019-2020,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Kitchen,Admin 3,,Mahoo,3.473,38.5849,County Government,100,,,Admin 3,Mahoo
006/132/121/19-20,Kirimeri Nursery Perimeter Fence,Complete,2019-2020,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Ecde ,Admin 3,,Mahoo,3.30568,37.7208,County Government,100,,,Admin 3,Mahoo
006/132/122/19-20,Routine Maintenace And Spot Improvement,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Routine Maintenace And Spot Improvement,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/123/19-20,Installation Of One Box Culvert And Double 900 Mm Culvert At Mkuyuni Kingwareni Road,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Box Culvert Installation ,Admin 3,,Mata,-3.647853,37.7986640,County Government,100,,,Admin 3,Mata
006/132/124/19-20,Routine Maintenace And Spot Improvement,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Routine Maintenace And Spot Improvement,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/125/19-20,Murraming Of Kwa Father Moya Moya Mtisoni Road,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Murraming Of Kwa Father Moya Moya Mtisoni Road,Admin 3,,Mboghoni,-3.4338,37.6849,County Government,100,,,Admin 3,Mboghoni
006/132/126/19-20,Murraming Of Eldoro Kitoghoto Ngutini Road,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Murraming Of Eldoro Kitoghoto Ngutini Road,Admin 3,,Mboghoni,-3.4763,3.4946,County Government,100,,,Admin 3,Mboghoni
006/132/128/19-20,Excavation Of Lambo Maseketeni Road,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Excavation Of Lambo Maseketeni Road,Admin 3,,Mboghoni,-3.4946,37.7131,County Government,100,,,Admin 3,Mboghoni
006/132/129/18-19,Chala Madukani 4 Door Toilet,Complete,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Madukani Door Toilet,Admin 3,,Chala,-3.2946030,37.73388,County Government,100,,,Admin 3,Chala
006/132/13/24-25,Structures In Mokoi Road And Utawala Road,Ongoing,2024-2025,Bosker Ace Limited ,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,999925.48,100,Structures In Mokoi Road And Utawala Road,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/130/18-19,Chala Social Hall,Complete,2018-2019,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Construction Of Social Hall,Admin 3,,Chala,-3.2988980,37.7349470,County Government,100,,,Admin 3,Chala
006/132/131/18-19,Chumvini 4 Door Toilet,Complete,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Door Toilet,Admin 3,,Chala,-3.2112680,37.7134980,County Government,100,,,Admin 3,Chala
006/132/132/18-19,Mahandakini Ecde,Complete,2018-2019,Ketusha Constructions,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,1239700,100,Construction Of Class,Admin 3,,Chala,-3.2455930,37.72997,County Government,100,,,Admin 3,Chala
006/132/133/18-19,Njukini Abc Rd,Complete,2018-2019,Njamrit Enterprises,0,Health Services,County Government,,,,,0,,0,0,100,Grading  & Gravelling  Abc Rd,Admin 3,,Chala,-3.1956680,37.7122970,County Government,100,,,Admin 3,Chala
006/132/134/18-19,Mahandakini Disp. Rd,Complete,2018-2019,Market View Investments,0,Health Services,County Government,,,,,0,,0,0,100,Grading And Gravelling ,Admin 3,,Chala,-3.2451830,37.7294920,County Government,100,,,Admin 3,Chala
006/132/135/18-19,Mahandakini Disp. Twin Staff Hse,Complete,2018-2019,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Construction Of Disp Twin Staff Hse,Admin 3,,Chala,-3.2467790,37.7278680,County Government,100,,,Admin 3,Chala
006/132/136/18-19,Chumvini Mkt Shed,Complete,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Mkt Shed,Admin 3,,Chala,-3.20867,37.712505,County Government,100,,,Admin 3,Chala
006/132/137/18-19,Machungwani Kwa Hassan Rd,Complete,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading And Gravelling ,Admin 3,,Chala,-3.2558520,37.7462080,County Government,100,,,Admin 3,Chala
006/132/138/18-19,Njukini Shed  &Toilet,Complete,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Shed Toilet,Admin 3,,Chala,-3.1872890,37.7246310,County Government,100,,,Admin 3,Chala
006/132/139/18-19,Timboni Kwa Edward Road,Complete,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,2979579,100,Murumming Of The Road,Admin 3,,Mahoo,3.348973,37.703,County Government,100,,,Admin 3,Mahoo
006/132/14/24-25,Youth And Women Empowerment ,Complete,2024-2025,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Youth And Women Empowerment ,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/140/18-19,Rehabilitation Harambee/Chakaleri Timbila Rd,Complete,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Murrumming Of The Road,Admin 3,,Mahoo,3.3838,37.7153,County Government,100,,,Admin 3,Mahoo
006/132/141/18-19,Construction Of Lessesia Ecde Toilet,Complete,2018-2019,Jz Building& Construction Co. Ltd,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,499693.2,100,Construction Of Toilet,Admin 3,,Mahoo,0,0,County Government,100,,,Admin 3,Mahoo
006/132/142/18-19,Msengoni Road Opening,Complete,2018-2019,Niko Genral Agencies,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1958752.8,100,Road Formation,Admin 3,,Mahoo,3.3939,37.71212,County Government,100,,,Admin 3,Mahoo
006/132/143/18-19,Ngelesani Makloriti Road,Complete,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1910052,100,Murruming Of The Road,Admin 3,,Mahoo,0,0,County Government,100,,,Admin 3,Mahoo
006/132/144/18-19,Langata Bypass Barrier Constructionroad,Complete,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1632120,100,Murrummung Road,Admin 3,,Mahoo,3.374161,37.6823,County Government,100,,,Admin 3,Mahoo
006/132/145/18-19,Nakuruto Ecde,Complete,2018-2019,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Ecde,Admin 3,,Mahoo,3.3378,37.7143,County Government,100,,,Admin 3,Mahoo
006/132/146/18-19,Renovation Works Of Mahandakini Dispensary,Complete,2018-2019,"Borbada Enterprises, P.O Box 12444-80117 Mtopanga",0,Health Services,County Government,,,,,0,,0,2497500,100,Construction,Admin 3,,Mahoo,0,0,County Government,100,,,Admin 3,Mahoo
006/132/147/18-19,Mahoo Ecde Kitchen,Complete,2018-2019,Makena General  Stores,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,1258588.4,100,Construction Of Kitchen,Admin 3,,Mahoo,3.473,38.5849,County Government,100,,,Admin 3,Mahoo
006/132/148/18-19,Kirimeri Nursery Perimeter Fence,Complete,2018-2019,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Ecde ,Admin 3,,Mahoo,3.30568,37.7208,County Government,100,,,Admin 3,Mahoo
006/132/149/18-19,Supply Of Fertilizer,Complete,2018-2019,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,,,0,,0,0,100,Supply Of Fertilizer,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/15/24-25,Murraming Of Kiwalwa-Mtisoni-Riata Ndogo Road,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Murraming Of Kiwalwa-Mtisoni-Riata Ndogo Road,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/150/18-19,Fencing Of Orkung'U Pre-School,Complete,2018-2019,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Fencing Construction ,Admin 3,,Mata,-3.505738,37.686497,County Government,100,,,Admin 3,Mata
006/132/151/18-19,Construction Of 1 Classroom Kasaani Pre-School,Ongoing,2018-2019,Tahary Enterprises,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,1354584.2,100,Completion Of Kasaani Ecde Phase 2,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/152/18-19,Construction Of Kasaani Ecde  Classroom 2,Complete,2018-2019,Tahary Enterprises,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Completion Of Kasaani Ecde Phase 2,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/153/18-19,Kachero Ecd 2 Classrooms,Ongoing,2018-2019,Tahary Enterprises,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,2610882.6,100,Construction Of Kachero Ecde 2 Classrooms Phase 2,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/154/18-19,Grogan Ecd 2 Classrooms,Ongoing,2018-2019,Kiwalwa Kwetu Ltd,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,1764049.12,100,Completion Of Gregan Ecde Classroom Phase 2,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/156/18-19,Construction Of 1 Classroom - Orkung Pre School,Complete,2018-2019,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of 1 Classroom ,Admin 3,,Mata,-3.5156270,37.7704620,County Government,100,,,Admin 3,Mata
006/132/157/18-19,Construction Of Mata Youth Polytechnic,Stalled,2018-2019,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Mata Vtc,Admin 3,,Mata,-3.390575,37.585335,County Government,100,,,Admin 3,Mata
006/132/158/18-19,Construction Of Kachero Dispensary,Complete,2018-2019,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Construction Of The Dispensary ,Admin 3,,Mata,-3.557864,37.7322590,County Government,100,,,Admin 3,Mata
006/132/159/18-19,Fencing Of Mata Dispensary,Complete,2018-2019,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Fencing Of Mata Dispensary ,Admin 3,,Mata,-3.3713,37.705546,County Government,100,,,Admin 3,Mata
006/132/16/24-25,Murraming Of Gasheni-Riata Kubwa Road,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Murraming Of Gasheni-Riata Kubwa Road,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
006/132/160/18-19,Equipping Of Ndilidau Dispensary,Complete,2018-2019,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Supply Of Equipment At Ndilidau Dispensary ,Admin 3,,Mata,-3.380234,37.7489,County Government,100,,,Admin 3,Mata
006/132/161/18-19,Formation Of King'Wareni - Kimondia - Rekeke Road,Complete,2018-2019,Market View Investments,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,New Road Formation ,Admin 3,,Mata,-3.464744,37.71745800,County Government,100,,,Admin 3,Mata
006/132/162/18-19,Culverts Installation At King'Wareni - Kimondia - Rekeke Road,Complete,2018-2019,Market View Investments,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,2103834,100,Culverts Installation ,Admin 3,,Mata,-3.42166900,37.56743400,County Government,100,,,Admin 3,Mata
006/132/163/18-19,"Murraming, Culvert & Drainage Culvert Mkuyuni - King'Wareni Road",Complete,2018-2019,Spartacus K Ltd,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1997520,100,Culverts Installation ,Admin 3,,Mata,-3.376574,37.66009800,County Government,100,,,Admin 3,Mata
006/132/164/17-18,Phase 2 Fencing Of Chala Dispensary ,Complete,2017-2018,n/a,0,Health Services,County Government,,,,,0,,0,994945,100,Construction Of Disp Fence,Admin 3,,Chala,-3.2954650,37.7356950,County Government,100,,,Admin 3,Chala
006/132/165/17-18,Chala Disp. Staff House Renovation,Complete,2017-2018,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Renovation Of Disp Staff House ,Admin 3,,Chala,-3.2954650,37.7356950,County Government,100,,,Admin 3,Chala
006/132/166/17-18,Chala Ecde,Complete,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Class,Admin 3,,Chala,-3.2951370,37.7360750,County Government,100,,,Admin 3,Chala
006/132/167/17-18,Njukini Bodaboda Shed,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Bodaboda Shed,Admin 3,,Chala,-3.1883230,37.7244920,County Government,100,,,Admin 3,Chala
006/132/168/17-18,Kindongu Box Culvert,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Culvert,Admin 3,,Chala,-3.3344350,37.735902,County Government,100,,,Admin 3,Chala
006/132/169/17-18,Chala Disp. Fence ,Complete,2017-2018,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Construction Of Disp Fence,Admin 3,,Chala,-3.2954650,37.7356950,County Government,100,,,Admin 3,Chala
006/132/17/24-25,Murraming Of Ngutini-Maseketeni Road,Complete,2024-2025,Bonwal Construction And Holding Company Limited ,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,2843450,100,Murraming Of Ngutini-Maseketeni Road,Admin 3,,Mboghoni,0,0,County Government,100,,,Admin 3,Mboghoni
006/132/170/17-18,Chala Vtc Fence,Complete,2017-2018,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Fencing Vtc,Admin 3,,Chala,-3.297785,37.7307630,County Government,100,,,Admin 3,Chala
006/132/171/17-18,Mahandakini Disp. Twin Staff Hse,Complete,2017-2018,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Construction Of Disp Twin Staff Hse,Admin 3,,Chala,-3.2467790,37.7278680,County Government,100,,,Admin 3,Chala
006/132/172/17-18,Chumvini Mkt Shed,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Mkt Shed,Admin 3,,Chala,-3.20867,37.712505,County Government,100,,,Admin 3,Chala
006/132/173/17-18,Machungwani Kwa Hassan Rd,Complete,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading And Gravelling ,Admin 3,,Chala,-3.2558520,37.7462080,County Government,100,,,Admin 3,Chala
