Project Number,Project Title,Project Status,Financial Year,Contractor Name,Estimated Cost,Department,Implemented By,Partner,Expected Start Date,Expected End Date,Approval/Contract Number,Contract Period (Days),Technical Rating,Completion Level,Amount Paid,Total Percentage,Project Scope,Administrative Level,Project Location,Location Names,Latitude,Longitude,Funded By,Percentage of Funding,Partner,,Admin Level,Admin
006/130/120/21-22,Mwanyambo Ecde,Complete,2021-2022,n/a,2000000,"Education, Libraries and VTCs",County Government,,,,,0,,0,2000000,100,Construction Of Modern Classes,Admin 3,,Kaloleni,-3.3931,38.5886,County Government,100,,,Admin 3,Kaloleni
006/130/121/21-22,Sofia Bona Fencing &Toilet,Complete,2021-2022,MBILO LIMITED," 270,540.00 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 270,540.00 ",100,Planting Of Chain Ling And Constrution Of 2 Door Toilet,Admin 3,,Kaloleni,-3.3871,385778,County Government,100,,,Admin 3,Kaloleni
006/130/122/21-22,Kwa Mzungu Box Culvert,Complete,2021-2022,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Box Culvert,Admin 3,,Kaloleni,-3.3965,38.5821,County Government,100,,,Admin 3,Kaloleni
006/130/123/21-22,Birikani Social Hall,Stalled,2021-2022,GUYANA ENTERPRISES LTD," 2,194,265.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 2,194,265.00 ",100,Construction Of Modern Hall ,Admin 3,,Kaloleni,-3.3962,38.5948,County Government,100,,,Admin 3,Kaloleni
006/130/124/21-22,Kaloleni Basket Ball Court,Complete,2021-2022,MEHER ENGINEERING LTD," 1,492,953.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 1,492,953.00 ",100,Construction Of Court ,Admin 3,,Kaloleni,-3.3979,38.57839,County Government,100,,,Admin 3,Kaloleni
006/130/125/21-22,Kaloleni Social Hall Fence&Toilet,Complete,2021-2022,HATUNA CHUKI BREAKDOWN," 510,000.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0, s ,100,Planting Of Chain Ling And Gate & 4 Door Toilet,Admin 3,,Kaloleni,-3.3979,38.5784,County Government,100,,,Admin 3,Kaloleni
006/130/126/21-22,Kaloleni Studio Equipments,Complete,2021-2022,GRACIOUS TENTS & SOUNDS," 3,628,000.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 3,628,000.00 ",100,Equiping Of  Studio Facilites ,Admin 3,,Kaloleni,-3.3979,38.57841,County Government,100,,,Admin 3,Kaloleni
006/130/127/21-22,Mnaoni Ecde Toilet,Complete,2021-2022,KIDAYA GENERAL CONTRACTORS," 624,760 ","Education, Libraries and VTCs",County Government,,,,,0,,0,   ,100,Construction Of 2 Door Toilet,Admin 3,,Kaloleni,-3.42,38.5571,County Government,100,,,Admin 3,Kaloleni
006/130/128/21-22,Gimba Ecde Class+Kitchen,Complete,2021-2022,n/a,1000000,"Education, Libraries and VTCs",County Government,,,,,0,,0,1000000,100,Construction Of Class & Kitchen,Admin 3,,Kaloleni,-3.4425,38.5553,County Government,100,,,Admin 3,Kaloleni
006/130/129/21-22,Tanzania Dispensary,Complete,2021-2022,SABEN HOLDINGS LIMITED," 1,595,893.00 ",Health Services,County Government,,,,,0,,0," 1,595,893.00 ",100,,Admin 3,,Kaloleni,-3.3991,38.5606,County Government,100,,,Admin 3,Kaloleni
006/130/13/24-25,Grading And Murraming Of Gimba Kalambe Road,Complete,2024-2025,Jewana General Contractor,1999588.6,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1999588.6,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/130/21-22,Gimba &Kalemba Footbridges,Complete,2021-2022,n/a,4000000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,4000000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/131/21-22,Kaloleni Roads Rehabilitation,Complete,2021-2022,JEDY GENERAL CONTRACTORS," 3,273,874.80 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 3,273,874.80 ",100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/132/21-22,Completion Of Kaloleni Stadium,Complete,2021-2022,n/a,5000000,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,5000000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/133/21-22,"Grants To Women, Youth And Plwd",Complete,2021-2022,n/a,4000000,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,4000000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/134/21-22,Refurbishment Of Classes Sagala Vtc,Complete,2021-2022,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Refurbishment Of Sagala Vtc Classes,Admin 3,,Sagala,-3.4856,38.5831,County Government,100,,,Admin 3,Sagala
006/130/135/21-22,Construction Of Ndome Bodaboda Shed,Complete,2021-2022,Meta Med Supplies Ltd," 329,579.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 329,579.00 ",100,Completion Of Bodaboda Shed,Admin 3,,Ngolia,-3.302603,38.484453,County Government,100,,,Admin 3,Ngolia
006/130/136/21-22,Construction Of Ghazi Bodaboda Shed,Complete,2021-2022,Meta Med Supplies Ltd," 325,579.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 325,579.00 ",100,Completion Of Bodaboda Shed,Admin 3,,Ngolia,-3.289115,38.445046,County Government,100,,,Admin 3,Ngolia
006/130/138/20-21,Gaza Ecde Class +Kitchen,Complete,2020-2021,n/a,1500000,"Education, Libraries and VTCs",County Government,,,,,0,,0,1500000,100,Construction Of Class & Kitchen,Admin 3,,Kaloleni,-3.3987,38.5572,County Government,100,,,Admin 3,Kaloleni
006/130/139/20-21,Kaloleni Footbridge,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Metalic Footbridge,Admin 3,,Kaloleni,-3.3973,38.5647,County Government,100,,,Admin 3,Kaloleni
